,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,Rec,Tgt,ReceivingYds,ReceivingTD,RushingAtt,RushingYds,RushingTD,FantasyPoints
171,Sterling Shepard,WR,NYG,0,0,0,0,0,9,11,111,0,0,0,0,20.1
172,Steven Sims,WR,WAS,0,0,0,0,0,5,11,45,1,0,0,0,15.5
173,Tajae Sharpe,WR,TEN,0,0,0,0,0,2,2,28,0,0,0,0,4.8
174,Tarik Cohen,RB,CHI,0,0,0,0,0,7,10,57,0,8,28,0,15.5
175,Tavon Austin,WR,DAL,0,0,0,0,0,1,1,59,1,0,0,0,12.9
176,Taysom Hill,QB,NOR,0,0,0,0,0,2,2,42,1,0,0,0,12.2
177,Terry McLaurin,WR,WAS,0,0,0,0,0,5,5,130,1,0,0,0,24.0
178,Tevin Coleman,RB,SFO,0,0,0,0,0,0,0,0,0,4,40,0,4.0
179,Todd Gurley,RB,LAR,0,0,0,0,0,0,0,0,0,11,20,1,8.0
180,Tom Brady,QB,NWE,128,2,0,29,15,0,0,0,0,0,0,0,13.120000000000001
181,Tony Pollard,RB,DAL,0,0,0,0,0,0,0,0,0,12,131,1,19.1
182,Travis Homer,RB,SEA,0,0,0,0,0,0,0,0,0,2,7,0,0.7
183,Travis Kelce,TE,KAN,0,0,0,0,0,11,13,142,0,0,0,0,25.2
184,Tyler Boyd,WR,CIN,0,0,0,0,0,3,7,26,0,0,0,0,5.6
185,Tyler Eifert,TE,CIN,0,0,0,0,0,3,5,44,0,0,0,0,7.4
186,Tyler Higbee,TE,LAR,0,0,0,0,0,12,14,111,0,0,0,0,23.1
187,Tyler Lockett,WR,SEA,0,0,0,0,0,8,9,120,1,0,0,0,26.0
188,Tyreek Hill,WR,KAN,0,0,0,0,0,5,7,67,2,0,0,0,23.7
189,Tyrell Williams,WR,OAK,0,0,0,0,0,2,3,45,1,0,0,0,12.5
190,Vyncint Smith,WR,NYJ,0,0,0,0,0,3,5,40,0,0,0,0,7.0
191,Wes Hills,RB,DET,0,0,0,0,0,0,0,0,0,10,21,2,14.1
192,Will Fuller,WR,HOU,0,0,0,0,0,5,7,61,0,0,0,0,11.1
193,Zach Ertz,TE,PHI,0,0,0,0,0,5,10,61,1,0,0,0,17.1
194,Zach Pascal,WR,IND,0,0,0,0,0,4,6,44,0,0,0,0,8.4
